grouping,condition,n_groups,n_raters,group_sizes,n_items,tvd,jsd,tvd_to_pooled,nullA_tvd,nullA_sd,excess,z
race3 x gender2 (6 chosen cells),All 123 human raters,6,85,16;10;12;17;11;19,350,0.2031509973686444,0.08059896483521611,0.13130703429697238,0.16548715328879238,0.009951432438128889,0.037663844079852016,3.784766094129634
race3 x gender2 (6 chosen cells),104 kept (filtered),6,69,12;9;7;16;9;16,350,0.20900321239606953,0.088091257347658,0.13667654622235367,0.18352260767195766,0.009273087958487938,0.02548060472411187,2.7478014700366025
gender2 x age3,All 123 human raters,6,123,17;25;19;14;31;17,350,0.16155806610589907,0.051053840507271096,0.10412654498546282,0.1398865040889782,0.008121782387710039,0.02167156201692086,2.6683258652330406
gender2 x age3,104 kept (filtered),6,104,15;20;12;12;29;16,350,0.1601842638204707,0.05312259779965809,0.10398363753105132,0.15176584559934317,0.007427686025088855,0.008418418221127544,1.1333836934803443
gender2,All 123 human raters,2,123,61;62,350,0.09170129183349701,0.01712102636575213,0.045850645916748506,0.07869386537735136,0.010308943827973314,0.013007426456145652,1.2617613087433852
gender2,104 kept (filtered),2,104,47;57,350,0.0818567695835333,0.01458500035078127,0.04092838479176665,0.08508134698448248,0.009051681619515669,-0.003224577400949183,-0.35624070051214657
race3 (White/Black/Asian only),All 123 human raters,3,85,26;29;30,350,0.12886800555766073,0.03318464236255468,0.07447062290875678,0.1153782109721696,0.011152322362068102,0.013489794585491127,1.2095951092100212
race3 (White/Black/Asian only),104 kept (filtered),3,69,21;23;25,350,0.14766305826678497,0.042933257077323705,0.08582880804495711,0.12636604900325346,0.009882422666548329,0.021297009263531508,2.155039303836009
race5,All 123 human raters,5,123,26;29;22;16;30,350,0.1383502402769644,0.03826389438971042,0.08793569375676188,0.12676420454252643,0.00826582938029619,0.011586035734437977,1.4016785492882766
race5,104 kept (filtered),5,104,21;23;22;13;25,350,0.15418528593559647,0.047197732399657834,0.0984678545884757,0.13668934861732882,0.007602497570384019,0.01749593731826765,2.3013407312912686
age3 (NEGATIVE CONTROL),All 123 human raters,3,123,31;56;36,350,0.09602607709750569,0.019276214030432632,0.0554840672172357,0.09912593968985443,0.009073832681628008,-0.0030998625923487483,-0.3416265982758432
age3 (NEGATIVE CONTROL),104 kept (filtered),3,104,27;49;28,350,0.10714663643235071,0.023880599752017274,0.062191807940107265,0.1072694596335889,0.008337939275401053,-0.0001228232012381869,-0.014730642330359155
