grouping,condition,null_mean,null_sd,null_lo,null_hi,n_perm
race3 x gender2 (6 chosen cells),All 123 human raters,0.16548715328879238,0.009951432438128889,0.14975812480175485,0.18823595326886733,5000
race3 x gender2 (6 chosen cells),104 kept (filtered),0.18352260767195766,0.009273087958487938,0.16867446617535906,0.20427151832955404,5000
gender2 x age3,All 123 human raters,0.1398865040889782,0.008121782387710039,0.12729906801973762,0.15880655325491824,5000
gender2 x age3,104 kept (filtered),0.15176584559934317,0.007427686025088855,0.1396345566502463,0.16851275793650794,5000
gender2,All 123 human raters,0.07869386537735136,0.010308943827973314,0.06613279066253683,0.10536539623781815,5000
gender2,104 kept (filtered),0.08508134698448248,0.009051681619515669,0.07349370767343892,0.1085409534474484,5000
race3 (White/Black/Asian only),All 123 human raters,0.1153782109721696,0.011152322362068102,0.09994002147278008,0.142937457370216,5000
race3 (White/Black/Asian only),104 kept (filtered),0.12636604900325346,0.009882422666548329,0.11210126195405698,0.15090447007788615,5000
race5,All 123 human raters,0.12676420454252643,0.00826582938029619,0.11439708224247017,0.14652448392125114,5000
race5,104 kept (filtered),0.13668934861732882,0.007602497570384019,0.12512612813480514,0.15444146733390832,5000
age3 (NEGATIVE CONTROL),All 123 human raters,0.09912593968985443,0.009073832681628008,0.08691095049130765,0.12125179668641646,5000
age3 (NEGATIVE CONTROL),104 kept (filtered),0.1072694596335889,0.008337939275401053,0.09576380790411403,0.12832103714501675,5000
